Query,Add Results,Google,Video Facet,Videos-Schooltv?,Kennisvenster?,'Samenvatting'?,Extra (top-down),Opmerkingen,Soort Query (select),Extra (multi),Onderwerp,Leeftijd,Resultaten DB,OK-100,Ranking Conclusie,Date,Bronnen DB,Created time,Bronnen DB 1,Bronnen: Thumbs up?,Bronnen: Toeg.
kleren van vikingen,Done,https://www.google.nl/search?q=kleren+van+vikingen&rlz=1C5CHFA_enNL1081NL1081&oq=kleren+van+vikingen&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTIICAEQABgWGB7SAQkxMTgxNmowajSoAgCwAgA&sourceid=chrome&ie=UTF-8,https://www.google.nl/search?sca_esv=600376160&rlz=1C5CHFA_enNL1081NL1081&q=kleren+van+vikingen&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjEpPOi8_CDAxW01AIHHURWBRMQ0pQJegQICxAB&biw=1468&bih=1328&dpr=2,-,Nee,Nee,"Afbeeldingen, Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)","Shockerend veel shops; 0 geschikt voor informatie. Maar 1/5 is informatief, alle andere 7 zijn shops; maar moeilijk te bepalen of dat irrelevant is - het is wel hoe dan ook beeld. ",2 of meer woorden,,Geschiedenis,9,,Yes,(Bijna) alleen shops op de query,,,"July 18, 2023 7:47 PM",,,
belangrijkste piramide,Done,https://www.google.nl/search?q=belangrijkste+piramide&sca_esv=590892788&source=hp&ei=1AN7ZcXDB9ftkgXU1KXoBw&iflsig=AO6bgOgAAAAAZXsR5FCFQh-yGOkuPtdL6YRB2-HnBG_7&ved=0ahUKEwjF_a35hI-DAxXXtqQKHVRqCX0Q4dUDCAw&uact=5&oq=belangrijkste+piramide&gs_lp=Egdnd3Mtd2l6IhZiZWxhbmdyaWprc3RlIHBpcmFtaWRlMggQABgWGB4YDzIGEAAYFhgeMgYQABgWGB5I5wRQkQJYkQJwAHgAkAEAmAFyoAHAAaoBAzEuMbgBA8gBAPgBAvgBAagCCsICChAAGAMYjwEY6gLCAgoQLhgDGI8BGOoC&sclient=gws-wiz,https://www.google.nl/search?sca_esv=590892788&q=belangrijkste+piramide&tbm=vid&source=lnms&sa=X&ved=2ahUKEwj48ebA8_CDAxW39AIHHVqoDwUQ0pQJegQIBxAB&biw=1468&bih=1328&dpr=2,2,Nee,Ja,"Afbeeldingen, Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",,2 of meer woorden,,Geschiedenis,11,,Yes,,,,"July 18, 2023 7:47 PM",,,
welke stammen zijn er in sierra leone,Done,https://www.google.nl/search?q=welke+stammen+zijn+er+in+sierra+leone&sca_esv=590900121&source=hp&ei=pAp7ZZ2tLZmE9u8Pkf2NyAQ&iflsig=AO6bgOgAAAAAZXsYtGVlH9GvSdf00eyGVIQVnTuyu__M&ved=0ahUKEwidj6G5i4-DAxUZgv0HHZF-A0kQ4dUDCAw&uact=5&oq=welke+stammen+zijn+er+in+sierra+leone&gs_lp=Egdnd3Mtd2l6IiV3ZWxrZSBzdGFtbWVuIHppam4gZXIgaW4gc2llcnJhIGxlb25lMggQABiABBiiBDIIEAAYgAQYogQyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogRI5AtQ4QlY4QlwAHgAkAEAmAGEAaAB5gGqAQMxLjG4AQPIAQD4AQL4AQGoAgrCAgoQABgDGI8BGOoCwgIKEC4YAxiPARjqAg&sclient=gws-wiz,https://www.google.nl/search?sca_esv=590900121&q=welke+stammen+zijn+er+in+sierra+leone&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiqtOPZ8_CDAxUc9QIHHWkVCZMQ0pQJegQIDBAB&biw=1468&bih=1328&dpr=2,-,Nee,Ja,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",,Vragen,,Aardrijkskunde,12,,Yes,,,,"July 18, 2023 7:47 PM",,,
bloote m,Not started,,,,,,,,Unfinished,Spelfout(en),"Fun/Vrije tijd/Media, Natuur/Biologie",9,,No,,,,"July 18, 2023 7:47 PM",,,
What is gravity?,Not started,,,,,,,,Vragen,,Natuur/Biologie,12,,No,,,,"July 18, 2023 7:47 PM",,,
waar leven giraffen,Done,https://www.google.nl/search?q=waar+leven+giraffen&sca_esv=590933568&source=hp&ei=tSl7ZeGNK-jCi-gPq7KzyAI&iflsig=AO6bgOgAAAAAZXs3xSGCUNMusTpsptTEzjba-WWCgTxA&ved=0ahUKEwihvMOJqY-DAxVo4QIHHSvZDCkQ4dUDCAw&uact=5&oq=waar+leven+giraffen&gs_lp=Egdnd3Mtd2l6IhN3YWFyIGxldmVuIGdpcmFmZmVuMgUQABiABDIGEAAYFhgeMggQABgWGB4YDzIIEAAYFhgeGA8yCBAAGBYYHhgPMgYQABgWGB4yBhAAGBYYHkilBVCYAliYAnAAeACQAQCYAWCgAcABqgEBMrgBA8gBAPgBAvgBAagCCsICChAAGAMYjwEY6gLCAgoQLhgDGI8BGOoC&sclient=gws-wiz,https://www.google.nl/search?sca_esv=590933568&q=waar+leven+giraffen&tbm=vid&source=lnms&sa=X&ved=2ahUKEwid67H28_CDAxVOzAIHHfzXA9YQ0pQJegQICxAB&biw=1468&bih=1328&dpr=2,"1, 3",Nee,Ja,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",,Vragen,,Aardrijkskunde,10,,Yes,,,,"July 18, 2023 7:47 PM",,,
plaatjes van vulkaan,Done,https://www.google.nl/search?q=plaatjes+van+vulkaan&sca_esv=590945601&source=hp&ei=jzR7ZYrUCfaYi-gP7P-8uAk&iflsig=AO6bgOgAAAAAZXtCnygAv9oWbMbyHxaF8zFi2cMyUUR_&ved=0ahUKEwjK1_W1s4-DAxV2zAIHHew_D5cQ4dUDCAw&uact=5&oq=plaatjes+van+vulkaan&gs_lp=Egdnd3Mtd2l6IhRwbGFhdGplcyB2YW4gdnVsa2FhbjIFEAAYgAQyBhAAGBYYHjIGEAAYFhgeMgYQABgWGB5I7whQrQdYrQdwAXgAkAEAmAFXoAFXqgEBMbgBA8gBAPgBAvgBAagCCsICChAAGAMYjwEY6gLCAgoQLhgDGI8BGOoC&sclient=gws-wiz,https://www.google.nl/search?sca_esv=590945601&q=plaatjes+van+vulkaan&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjr1bCz9fCDAxWr0wIHHRFmBBcQ0pQJegQIChAB&biw=1468&bih=1328&dpr=2,-,Nee,Nee,"Afbeeldingen, Gerelateerde zoekopdrachten (na 10)",Resultaten voor https://www.google.nl/search?sca_esv=590945601&q=pepernoten+recept&spell=1&sa=X&ved=2ahUKEwjVl-C2uo-DAxVp1QIHHfKeCa8QkeECKAB6BAgIEAIhttps://www.google.nl/search?sca_esv=590945601&q=pepernoten+recept&spell=1&sa=X&ved=2ahUKEwjVl-C2uo-DAxVp1QIHHfKeCa8QkeECKAB6BAgIEAI,2 of meer woorden,,Aardrijkskunde,7,,Yes,,,,"July 18, 2023 7:47 PM",,,
pepernooten recept,Done,https://www.google.nl/search?q=pepernooten+recept&sca_esv=590945601&source=hp&ei=2Dt7ZejbEoHqkgXcqJj4CA&iflsig=AO6bgOgAAAAAZXtJ6H1RJ6luPXP_zT8NMT5ldf-VnRIs&ved=0ahUKEwjop6Wvuo-DAxUBtaQKHVwUBo8Q4dUDCAw&uact=5&oq=pepernooten+recept&gs_lp=Egdnd3Mtd2l6IhJwZXBlcm5vb3RlbiByZWNlcHQyChAAGIAEGLEDGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGApIzAVQ4gNY4gNwAHgAkAEAmAF6oAHLAaoBAzEuMbgBA8gBAPgBAvgBAagCCsICChAAGAMYjwEY6gLCAgoQLhgDGI8BGOoC&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=590945601&q=pepernoten+recept&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiQsuTJ9fCDAxX79AIHHRD5DisQ0pQJegQIDBAB&biw=1468&bih=1328&dpr=2,- (1 x klokhuis),Nee,Nee,"Films, Gerelateerde zoekopdrachten (na 10), Meer om te vragen (midden), Recepten",,2 of meer woorden,Spelfout(en),"Fun/Vrije tijd/Media, Koken",7,,Yes,,,,"July 18, 2023 7:47 PM",,,
waar komt de naam Romen van,Done,https://www.google.nl/search?q=waar+komt+de+naam+Romein+van&sca_esv=590945601&ei=tz97ZfWkGIjrsAf8nYOABQ&ved=0ahUKEwi13PCHvo-DAxWINewKHfzOAFAQ4dUDCBA&uact=5&oq=waar+komt+de+naam+Romein+van&gs_lp=Egxnd3Mtd2l6LXNlcnAiHHdhYXIga29tdCBkZSBuYWFtIFJvbWVpbiB2YW4yCBAAGIAEGKIEMggQABiJBRiiBDIIEAAYgAQYogQyCBAAGIAEGKIESOgMUMkGWMkGcAF4AZABAJgBjAGgAYwBqgEDMC4xuAEDyAEA-AEBwgIKEAAYRxjWBBiwA-IDBBgAIEHiAwUSATEgQIgGAZAGCA&sclient=gws-wiz-serp,https://www.google.nl/search?sca_esv=590945601&q=waar+komt+de+naam+Romein+van&tbm=vid&source=lnms&sa=X&ved=2ahUKEwi2u56F_fCDAxW04gIHHXgCDbAQ0pQJegQICxAB&biw=1468&bih=1328&dpr=2,"1..3, 5, 7",Nee,Ja,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",Google: Resultaten voor https://www.google.nl/search?sca_esv=590945601&q=waar+komt+de+naam+Roman+van&spell=1&sa=X&ved=2ahUKEwi13PCHvo-DAxWINewKHfzOAFAQkeECKAB6BAgHEAIhttps://www.google.nl/search?sca_esv=590945601&q=waar+komt+de+naam+Roman+van&spell=1&sa=X&ved=2ahUKEwi13PCHvo-DAxWINewKHfzOAFAQkeECKAB6BAgHEAIhttps://www.google.nl/search?sca_esv=590945601&q=waar+komt+de+naam+Roman+van&spell=1&sa=X&ved=2ahUKEwi13PCHvo-DAxWINewKHfzOAFAQkeECKAB6BAgHEAI. Geen resultaten uberhaupt voor Romen. Maar ik denk dat het Romein moet zijn; dit ook genomen,Vragen,Spelfout(en),Geschiedenis,11,,Yes,,,,"July 18, 2023 7:47 PM",,,
wat is een begin aanhaling,Done,https://www.google.nl/search?q=wat+is+een+begin+aanhaling&sca_esv=590958249&source=hp&ei=YkN7Zc2iEZ2Zi-gPyJaAkA4&iflsig=AO6bgOgAAAAAZXtRcgPZhpcP3XFCp2xIu2zHkemzaDs1&ved=0ahUKEwjN28nHwY-DAxWdzAIHHUgLAOIQ4dUDCAw&uact=5&oq=wat+is+een+begin+aanhaling&gs_lp=Egdnd3Mtd2l6Ihp3YXQgaXMgZWVuIGJlZ2luIGFhbmhhbGluZzIIEAAYiQUYogQyCBAAGIAEGKIEMggQABiABBiiBDIIEAAYgAQYogRI1AxQrwNYrwNwAXgAkAEAmAFboAFbqgEBMbgBA8gBAPgBAvgBAagCCsICChAuGAMYjwEY6gLCAgoQABgDGI8BGOoC&sclient=gws-wiz,https://www.google.nl/search?sca_esv=590958249&q=wat+is+een+begin+aanhaling&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiMzsqy_fCDAxWgxAIHHU_ADGwQ0pQJegQIDBAB&biw=1468&bih=1328&dpr=2,-,Nee,Ja,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",Bedoelde je: https://www.google.nl/search?sca_esv=590958249&q=wat+is+een+beginaanhaling&spell=1&sa=X&ved=2ahUKEwjU89jiwY-DAxW4zwIHHZ3ED20QBSgAegQICBAChttps://www.google.nl/search?sca_esv=590958249&q=wat+is+een+beginaanhaling&spell=1&sa=X&ved=2ahUKEwjU89jiwY-DAxW4zwIHHZ3ED20QBSgAegQICBAC,Vragen,,Taal/Cultuur,11,,Yes,,,,"July 18, 2023 7:47 PM",,,
