Query,Add Results,Google,Video Facet,Videos-Schooltv?,Kennisvenster?,'Samenvatting'?,Extra (top-down),Opmerkingen,Soort Query (select),Extra (multi),Onderwerp,Leeftijd,Resultaten DB,OK-100,Ranking Conclusie,Date,Bronnen DB,Created time,Bronnen DB 1,Bronnen: Thumbs up?,Bronnen: Toeg.
westerschelde waternoodsramp,Done,https://www.google.nl/search?q=westerschelde+waternoodsramp&sca_esv=590958249&source=hp&ei=IEd7ZeWDJtK6i-gPx7Ck6Ag&iflsig=AO6bgOgAAAAAZXtVMFBW5LVEs5URh1-TsD3cP5deviE6&ved=0ahUKEwjlk8aQxY-DAxVS3QIHHUcYCY0Q4dUDCAw&uact=5&oq=westerschelde+waternoodsramp&gs_lp=Egdnd3Mtd2l6Ihx3ZXN0ZXJzY2hlbGRlIHdhdGVybm9vZHNyYW1wMgQQIRgKSIYIUNwDWNwDcAF4AJABAJgBjQGgAY0BqgEDMC4xuAEDyAEA-AEC-AEBqAIKwgIKEAAYAxiPARjqAsICChAuGAMYjwEY6gI&sclient=gws-wiz,https://www.google.nl/search?sca_esv=590958249&q=westerschelde+watersnoodramp&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjrkYXK_fCDAxW9h_0HHWVcA5MQ0pQJegQICxAB&biw=1468&bih=1328&dpr=2,-,Nee,Ja,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",Resultaten voor https://www.google.nl/search?sca_esv=590958249&q=westerschelde+watersnoodramp&spell=1&sa=X&ved=2ahUKEwi6mNaSxY-DAxV31gIHHdJyASsQkeECKAB6BAgOEAIhttps://www.google.nl/search?sca_esv=590958249&q=westerschelde+watersnoodramp&spell=1&sa=X&ved=2ahUKEwi6mNaSxY-DAxV31gIHHdJyASsQkeECKAB6BAgOEAI,2 of meer woorden,Spelfout(en),Geschiedenis,12,,Yes,Resultaten v query zijn ok!,,,"July 18, 2023 7:47 PM",,,
diaree,Done,https://www.google.nl/search?q=diaree&sca_esv=591183191&source=hp&ei=mi58ZZnRFI-3i-gP9emv8AI&iflsig=AO6bgOgAAAAAZXw8qvZiihF80OyKCikTu9yv6I7_l_5D&ved=0ahUKEwiZhurwoZGDAxWP2wIHHfX0Cy4Q4dUDCAw&uact=5&oq=diaree&gs_lp=Egdnd3Mtd2l6IgZkaWFyZWUyChAAGIAEGLEDGAoyChAAGIAEGLEDGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGAoyBxAAGIAEGApIyAhQ3ANY3ANwAHgAkAEAmAFsoAGnAaoBAzEuMbgBA8gBAPgBAvgBAagCCsICChAAGAMYjwEY6gLCAgoQLhgDGI8BGOoC&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=591183191&q=diarree&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjdyfzY_fCDAxXz7rsIHYo3A6QQ0pQJegQIDhAB&biw=1468&bih=1328&dpr=2,- (1x klokhuis -1e),Nee,Nee,"Afbeeldingen, Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",Resultaten voor https://www.google.nl/search?sca_esv=591183191&q=diarree&spell=1&sa=X&ved=2ahUKEwjtnL6JopGDAxXM6qQKHRxcAFQQkeECKAB6BAgIEAI,Eén woord,Spelfout(en),Natuur/Biologie,10,,Yes,,,,"July 18, 2023 7:47 PM",,,
autosport,Done,https://www.google.nl/search?q=autosport&sca_esv=591183191&ei=TDR8ZZzoDIvfkwXBtKSQAg&ved=0ahUKEwicvv-np5GDAxWL76QKHUEaCSIQ4dUDCBA&uact=5&oq=autosport&gs_lp=Egxnd3Mtd2l6LXNlcnAiCWF1dG9zcG9ydDIIEAAYgAQYsQMyCxAuGIAEGMcBGK8BMgUQABiABDILEC4YrwEYxwEYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAuGIAEMgUQABiABDIFEAAYgARI4w1QrwZYrwZwAHgCkAEAmAF-oAF-qgEDMC4xuAEDyAEA-AEC-AEBwgIEEAAYR-IDBBgAIEHiAwUSATEgQIgGAZAGCA&sclient=gws-wiz-serp#ip=1,https://www.google.nl/search?sca_esv=591183191&q=autosport&tbm=vid&source=lnms&sa=X&ved=2ahUKEwivwcqD_vCDAxUUgv0HHeMvDhgQ0pQJegQIFBAB&biw=1468&bih=1328&dpr=2,-,Paar vage links,Ja,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top), Plaatsen, Resultaten voor, Video's","Resultaten voor Amsterdam ∙ https://www.google.nl/search?q=autosport&sca_esv=591183191&ei=TDR8ZZzoDIvfkwXBtKSQAg&ved=0ahUKEwicvv-np5GDAxWL76QKHUEaCSIQ4dUDCBA&uact=5&oq=autosport&gs_lp=Egxnd3Mtd2l6LXNlcnAiCWF1dG9zcG9ydDIIEAAYgAQYsQMyCxAuGIAEGMcBGK8BMgUQABiABDILEC4YrwEYxwEYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAuGIAEMgUQABiABDIFEAAYgARI4w1QrwZYrwZwAHgCkAEAmAF-oAF-qgEDMC4xuAEDyAEA-AEC-AEBwgIEEAAYR-IDBBgAIEHiAwUSATEgQIgGAZAGCA&sclient=gws-wiz-serp# + Resultaten voor ",Eén woord,,Sport,10,,Yes,,,,"July 18, 2023 7:47 PM",,,
engeland,Done,https://www.google.nl/search?q=engeland&sca_esv=591167423&source=hp&ei=WiV8ZY6WIKGLi-gPiJWQqAw&iflsig=AO6bgOgAAAAAZXwzaj3ZOLYhYRN8S1BlkcxZCJ7gqE1g&ved=0ahUKEwiOq-KHmZGDAxWhxQIHHYgKBMUQ4dUDCAw&uact=5&oq=engeland&gs_lp=Egdnd3Mtd2l6IghlbmdlbGFuZDIIEC4YgAQYsQMyBRAuGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgARI5AtQnANYnANwAHgAkAEAmAFdoAGmAaoBATK4AQPIAQD4AQL4AQGoAgrCAgoQABgDGI8BGOoCwgIKEC4YAxiPARjqAg&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=591167423&q=engeland&tbm=vid&source=lnms&sa=X&ved=2ahUKEwijjMyV_vCDAxXXhv0HHU79DJoQ0pQJegQIDhAB&biw=1468&bih=1328&dpr=2,-,Ja,Nee,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top), Plaatsen om te bezoeken, Voorpaginanieuws",Plaatsen om te bezoeken: Aanraders voor Engeland,Eén woord,,Aardrijkskunde,8,,Yes,,,,"July 18, 2023 7:47 PM",,,
marrons,Done,https://www.google.nl/search?q=marrons&sca_esv=591167423&source=hp&ei=IRd8ZZSJLe_ci-gPx4iE0AM&iflsig=AO6bgOgAAAAAZXwlMarX2q7_wE88V9jSAz-KjjyOw0v6&ved=0ahUKEwjUndq_i5GDAxVv7gIHHUcEAToQ4dUDCAw&uact=5&oq=marrons&gs_lp=Egdnd3Mtd2l6IgdtYXJyb25zMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABEiCaFDtYljtYnACeACQAQCYAU6gAU6qAQExuAEDyAEA-AEC-AEBqAIKwgIKEC4YAxiPARjqAsICChAAGAMYjwEY6gI&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=591167423&q=marrons&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjL_PS8_vCDAxV54AIHHdAxByQQ0pQJegQICxAB&biw=1468&bih=1328&dpr=2,-,Paar vage links,Nee,"Afbeeldingen, Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",Op de plek van Kennisvenster: Resultaten voor (met twee bijna identieke links die precies weer dezelfde Google pagina geven als nu,Eén woord,,"Geschiedenis, Maatschappij",9,,Yes,,,,"July 18, 2023 7:47 PM",,,
PARIS,Not started,,,,,,,,Named entity,,"Aardrijkskunde, Sport",8,,No,,,,"July 18, 2023 7:47 PM",,,
vertrekhal met inchekbalie,Done,https://www.google.nl/search?q=vertrekhal+met+inchekbalie&sca_esv=590958249&source=hp&ei=wEx7ZbyqN9qG9u8Pt5C4wAc&iflsig=AO6bgOgAAAAAZXta0PF5LOh0B_fPx4EbkesyARHlB5Eg&ved=0ahUKEwi8iqq_yo-DAxVag_0HHTcIDngQ4dUDCAw&uact=5&oq=vertrekhal+met+inchekbalie&gs_lp=Egdnd3Mtd2l6Ihp2ZXJ0cmVraGFsIG1ldCBpbmNoZWtiYWxpZTIGEAAYHhgNSLIGUN4CWN4CcAF4AJABAJgBSqABSqoBATG4AQPIAQD4AQL4AQGoAgrCAgoQABgDGI8BGOoCwgIKEC4YAxiPARjqAg&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=590958249&q=vertrekhal+met+incheckbalie&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiPnsPW_vCDAxUk0wIHHXeGACsQ0pQJegQICRAB&biw=1468&bih=1328&dpr=2,"- ",Nee,Ja,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",Resultaten voor https://www.google.nl/search?sca_esv=590958249&q=vertrekhal+met+incheckbalie&spell=1&sa=X&ved=2ahUKEwiDy5TByo-DAxVxnf0HHUkgCsYQkeECKAB6BAgOEAIhttps://www.google.nl/search?sca_esv=590958249&q=vertrekhal+met+incheckbalie&spell=1&sa=X&ved=2ahUKEwiDy5TByo-DAxVxnf0HHUkgCsYQkeECKAB6BAgOEAI,2 of meer woorden,Spelfout(en),"Fun/Vrije tijd/Media, Maatschappij, Techniek",7,,Yes,,,,"July 18, 2023 7:47 PM",,,
PIRAMIDES CHEOPS,Done,https://www.google.nl/search?q=PIRAMIDES+CHEOPS&sca_esv=591244276&source=hp&ei=b4J8ZcqjC5z77_UPqLCcoAk&iflsig=AO6bgOgAAAAAZXyQf18zpsMDWI2jr1GB0PMb9cBKa_tt&ved=0ahUKEwiKl5Tq8ZGDAxWc_bsIHSgYB5QQ4dUDCAw&uact=5&oq=PIRAMIDES+CHEOPS&gs_lp=Egdnd3Mtd2l6IhBQSVJBTUlERVMgQ0hFT1BTMgsQLhiABBjHARivATIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yCBAAGBYYHhgKSKcEUPgBWPgBcAF4AJABAJgBWqABWqoBATG4AQPIAQD4AQL4AQGoAgrCAgoQABgDGI8BGOoCwgIKEC4YAxiPARjqAg&sclient=gws-wiz,https://www.google.nl/search?sca_esv=591244276&q=PIRAMIDES+CHEOPS&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjFt5iD__CDAxXk0gIHHZeSDi8Q0pQJegQIChAB&biw=1468&bih=1328&dpr=2,-,Ja,Nee,"Afbeeldingen, Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",,Named entity,,Geschiedenis,10,,Yes,,,,"July 18, 2023 7:47 PM",,,
post moter,Done,https://www.google.nl/search?q=post+moter&sca_esv=591183191&source=hp&ei=SDR8ZZz4Ju6wi-gPsdu38As&iflsig=AO6bgOgAAAAAZXxCWIMYeeHK5VxTR16kmVaM28f5R-rz&ved=0ahUKEwicvKWmp5GDAxVu2AIHHbHtDb4Q4dUDCAw&uact=5&oq=post+moter&gs_lp=Egdnd3Mtd2l6Igpwb3N0IG1vdGVyMgoQABiABBixAxgKMgcQABiABBgKMg0QLhjUAhixAxiABBgKMgcQABiABBgKMg0QLhjUAhixAxiABBgKMg0QLhivARjHARiABBgKMgcQABiABBgKMgcQABiABBgKMgcQABiABBgKMgcQABiABBgKSPUFUOcCWOcCcAF4AJABAJgBWqABWqoBATG4AQPIAQD4AQL4AQGoAgrCAgoQLhgDGI8BGOoCwgIKEAAYAxiPARjqAg&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=591183191&q=post+motor&tbm=vid&source=lnms&sa=X&ved=2ahUKEwisx42n__CDAxUT0AIHHajvAEsQ0pQJegQICRAB&biw=1468&bih=1328&dpr=2,-,Nee,Nee,"Afbeeldingen, Gerelateerde zoekopdrachten (na 10)",Resultaten voor https://www.google.nl/search?sca_esv=591183191&q=post+motor&spell=1&sa=X&ved=2ahUKEwicvv-np5GDAxWL76QKHUEaCSIQkeECKAB6BAgIEAIhttps://www.google.nl/search?sca_esv=591183191&q=post+motor&spell=1&sa=X&ved=2ahUKEwicvv-np5GDAxWL76QKHUEaCSIQkeECKAB6BAgIEAI ; onduidelijk wat de search intent is…,2 of meer woorden,Spelfout(en),"Fun/Vrije tijd/Media, Techniek",9,,Yes,,"December 15, 2023",,"July 18, 2023 7:47 PM",,,
videos rehenboogfrienden,Done,https://www.google.nl/search?q=videos+rehenboogfrienden&sca_esv=595051483&source=hp&ei=aOWTZYjWE-aDi-gPvI-VqAw&iflsig=AO6bgOgAAAAAZZPzeN2rIegeLhjiLCcX2ABJjeWCbgzQ&ved=0ahUKEwiIquy5v76DAxXmwQIHHbxHBcUQ4dUDCAw&uact=5&oq=videos+rehenboogfrienden&gs_lp=Egdnd3Mtd2l6Ihh2aWRlb3MgcmVoZW5ib29nZnJpZW5kZW4yBxAhGKABGAoyBxAhGKABGAoyBxAhGKABGAoyBxAhGKABGApI-QhQ7gJY7gJwAXgAkAEAmAGEA6ABhAOqAQMzLTG4AQPIAQD4AQL4AQGoAgrCAgoQLhgDGI8BGOoCwgIKEAAYAxiPARjqAg&sclient=gws-wiz,https://www.google.nl/search?sca_esv=595051483&q=videos+regenboog+vrienden&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiEjbS7__CDAxVlg_0HHYBqBZQQ0pQJegQIChAB&biw=1468&bih=1328&dpr=2,-,Nee,Nee,"Gerelateerde zoekopdrachten (midden), Gerelateerde zoekopdrachten (na 10)",Resultaten voor https://www.google.nl/search?sca_esv=595051483&q=videos+regenboog+vrienden&spell=1&sa=X&ved=2ahUKEwiUj4q8v76DAxVJ2gIHHbF2BpsQkeECKAB6BAgNEAIhttps://www.google.nl/search?sca_esv=595051483&q=videos+regenboog+vrienden&spell=1&sa=X&ved=2ahUKEwiUj4q8v76DAxVJ2gIHHbF2BpsQkeECKAB6BAgNEAI,2 of meer woorden,"Media(ster), Spelfout(en)",Fun/Vrije tijd/Media,10,,Yes,Bijna alles v 2 bronnen op de query,,,"July 18, 2023 7:47 PM",,,
de gea,Done,https://www.google.nl/search?q=de+gea&sca_esv=593424282&source=hp&ei=OjGIZfiBFM7Z7_UPkaK2sAc&iflsig=AO6bgOgAAAAAZYg_Sl7jIySv5fMg4ayvvbZlUH6YYgxM&ved=0ahUKEwj4hqGJlqiDAxXO7LsIHRGRDXYQ4dUDCAw&uact=5&oq=de+gea&gs_lp=Egdnd3Mtd2l6IgZkZSBnZWEyCBAuGLEDGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIOEC4YgAQYxwEYrwEYjgUyBRAAGIAESJwMUO0EWI8KcAF4AJABAZgBpQGgAewDqgEDNS4xuAEDyAEA-AEBqAIKwgIKEC4YAxiPARjqAsICChAAGAMYjwEY6gLCAhEQLhiABBixAxiDARjHARjRA8ICDhAuGIAEGIoFGLEDGIMBwgIOEC4YgAQYsQMYxwEY0QPCAggQABiABBixA8ICCxAAGIAEGLEDGIMBwgIOEAAYgAQYigUYsQMYgwHCAhEQLhiABBjHARivARiYBRiOBcICCxAuGIAEGLEDGIMBwgILEC4YgAQYxwEYrwHCAgcQABiABBgKwgIIEC4YgAQYsQPCAgUQLhiABA&sclient=gws-wiz,https://www.google.nl/search?sca_esv=593424282&q=de+gea&tbm=vid&source=lnms&sa=X&ved=2ahUKEwik46eI4N-DAxUbhf0HHQvbAOEQ0pQJegQIDRAB&biw=1280&bih=1328&dpr=2,-,Ja,Nee,"Afbeeldingen, Meer om te vragen (midden)",,Named entity,Media(ster),Sport,10,,Yes,,,,"July 18, 2023 7:47 PM",,,
de bal,Done,https://www.google.nl/search?q=de+bal&rlz=1C5CHFA_enNL1081NL1081&oq=de+bal&gs_lcrp=EgZjaHJvbWUyBggAEEUYOTITCAEQLhivARjHARixAxiABBiOBTIHCAIQABiABDINCAMQLhivARjHARiABDIQCAQQLhivARjHARiABBiOBTIHCAUQABiABDIHCAYQLhiABDINCAcQLhivARjHARiABDINCAgQLhivARjHARiABNIBBzQ1NWowajeoAgCwAgA&sourceid=chrome&ie=UTF-8,https://www.google.nl/search?sca_esv=600400644&rlz=1C5CHFA_enNL1081NL1081&q=de+bal&tbm=vid&source=lnms&sa=X&ved=2ahUKEwj8l5KHgPGDAxUy1wIHHTYgD9IQ0pQJegQIDBAB&biw=1468&bih=1328&dpr=2,-,Ja,Nee,"Gerelateerde zoekopdrachten (na 10), Video's",Zoekintentie onduidelijk; er is onder meer een kinderboek “de bal”; Kennisvenster gaat over het bedrijf De bal is rond bv. NB Gerelateerd komt hier al na 8 resultaten.,Eén woord,,Sport,8,,Yes,,,,"July 18, 2023 7:47 PM",,,
wat is een foetus?,Done,https://www.google.nl/search?q=wat+is+een+foetus%3F&sca_esv=591204243&source=hp&ei=ClF8ZY2dO-qK9u8PpYCLmAs&iflsig=AO6bgOgAAAAAZXxfGuda7rwUbBL6qttZDP5HQ30Q93zj&ved=0ahUKEwiNyvbcwpGDAxVqhf0HHSXAArMQ4dUDCAw&uact=5&oq=wat+is+een+foetus%3F&gs_lp=Egdnd3Mtd2l6IhJ3YXQgaXMgZWVuIGZvZXR1cz8yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB4yCBAAGBYYHhgPMgYQABgWGB4yBhAAGBYYHjIIEAAYFhgeGA8yCBAAGBYYHhgPMggQABgWGB4YDzIGEAAYFhgeSIQFUK8CWK8CcAF4AJABAJgBY6ABY6oBATG4AQPIAQD4AQL4AQGoAgrCAgoQABgDGI8BGOoCwgIKEC4YAxiPARjqAg&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=591204243&q=wat+is+een+foetus%3F&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiqrOKbgPGDAxUU9gIHHeTnD7EQ0pQJegQICBAB&biw=1468&bih=1328&dpr=2,-,Ja,Nee,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",,Vragen,,Natuur/Biologie,9,,Yes,,,,"July 18, 2023 7:47 PM",,,
handgranat,Done,https://www.google.nl/search?sca_esv=591216765&q=handgranaat&spell=1&sa=X&ved=2ahUKEwjUoqHKxpGDAxUl7rsIHaW5DnAQBSgAegQICRAC,https://www.google.nl/search?sca_esv=591216765&q=handgranaat&tbm=vid&source=lnms&sa=X&ved=2ahUKEwi81LuzgPGDAxWZxgIHHZ9ODnoQ0pQJegQIDBAB&biw=1468&bih=1328&dpr=2,"- (Jeugdjournaal, 6)",Nee,Nee,"Afbeeldingen, Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top), Voorpaginanieuws","Bedoelde je: https://www.google.nl/search?sca_esv=591216765&q=handgranaat&spell=1&sa=X&ved=2ahUKEwjUoqHKxpGDAxUl7rsIHaW5DnAQBSgAegQICRAC ; deze resultaten werden niet weergegeven, maar aangezien de meeste Zwweds.Duis waren, de NL versie wel gebruikt",Eén woord,Spelfout(en),Techniek,10,,Yes,,,,"July 18, 2023 7:47 PM",,,
ferrari,Done,https://www.google.nl/search?q=ferrari&sca_esv=593550280&source=hp&ei=7kSJZYqFDdSoi-gP39SBiA4&iflsig=AO6bgOgAAAAAZYlS_iO_zCt3BmtWnZ04TU6v1sDZ_BT6&ved=0ahUKEwiKtK-AnaqDAxVU1AIHHV9qAOEQ4dUDCAw&uact=5&oq=ferrari&gs_lp=Egdnd3Mtd2l6IgdmZXJyYXJpMg4QLhiABBixAxjHARjRAzILEAAYgAQYsQMYgwEyCxAuGIAEGLEDGIMBMggQABiABBixAzILEAAYgAQYsQMYgwEyBRAAGIAEMggQABiABBixAzIIEAAYgAQYsQMyDhAAGIAEGIoFGLEDGIMBMgsQLhiABBixAxiDAUjjFVCLAliXCXABeACQAQCYAWKgAbUDqgEBN7gBA8gBAPgBAagCCsICChAuGAMYjwEY6gLCAgoQABgDGI8BGOoCwgIREC4YgAQYsQMYgwEYxwEY0QPCAg4QLhiABBjHARivARiOBcICCBAuGLEDGIAEwgIIEC4YgAQYsQPCAg4QLhiABBiKBRixAxiDAcICCxAuGIAEGMcBGNEDwgILEAAYgAQYigUYkgPCAgsQABiABBixAxjJAw&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=593550280&q=ferrari&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiKl-P23PCDAxXf-gIHHQ-RCrcQ0pQJegQIFBAB&biw=1468&bih=1328&dpr=2,-,Ja,Nee,"Afbeeldingen, Gerelateerde zoekopdrachten (midden), Meer om te vragen (midden), Voorpaginanieuws",,Named entity,,Fun/Vrije tijd/Media,11,,Yes,,,,"July 18, 2023 7:47 PM",,,
varkentje,Done,https://www.google.nl/search?q=varkentje&sca_esv=593555560&source=hp&ei=fUqJZZvtPJ-Di-gPm9qG0AU&iflsig=AO6bgOgAAAAAZYlYjoqEzZPkMf8UsCifALPnyQa0t27L&ved=0ahUKEwjbn6SnoqqDAxWfwQIHHRutAVoQ4dUDCAw&uact=5&oq=varkentje&gs_lp=Egdnd3Mtd2l6Igl2YXJrZW50amUyCxAuGIAEGLEDGNQCMgUQLhiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEC4YgAQyBRAAGIAESJIXUMwCWIgUcAF4AJABAJgBSaAB0AOqAQE5uAEDyAEA-AEBqAIKwgIKEAAYAxiPARjqAsICChAuGAMYjwEY6gLCAgsQABiABBixAxiDAcICDhAuGIAEGMcBGK8BGI4FwgILEC4YgAQYsQMYgwHCAg4QLhiABBixAxjHARjRA8ICERAuGIAEGLEDGIMBGMcBGNEDwgIIEAAYgAQYsQPCAhEQLhiABBixAxjHARivARiOBcICFBAuGIAEGLEDGIMBGMcBGK8BGI4FwgIOEC4YgAQYigUYsQMYgwHCAg4QABiABBiKBRixAxiDAQ&sclient=gws-wiz,https://www.google.nl/search?sca_esv=593555560&q=varkentje&tbm=vid&source=lnms&sa=X&ved=2ahUKEwig9ID24vCDAxVsh_0HHRh8AfQQ0pQJegQIBxAB&biw=1468&bih=1328&dpr=2,-,Nee,Ja,"Afbeeldingen, Gerelateerde zoekopdrachten (midden), Meer om te vragen (top), Resultaten voor",Vrijwel allemaal YouTube videos als resultaat! (8),Eén woord,,"Fun/Vrije tijd/Media, Natuur/Biologie",11,,Yes,Bijna alleen 1 bron op de query,,,"July 18, 2023 7:47 PM",,,
Ezel,Done,https://www.google.nl/search?q=Ezel&sca_esv=593560618&source=hp&ei=cVCJZfjoDM3Yi-gPir6hmA8&iflsig=AO6bgOgAAAAAZYlegRbpIUlFk3_JCSOR1XY5nINFRu5I&ved=0ahUKEwi45c39p6qDAxVN7AIHHQpfCPMQ4dUDCAw&uact=5&oq=Ezel&gs_lp=Egdnd3Mtd2l6IgRFemVsMgsQLhiDARixAxiABDIFEAAYgAQyCxAAGIAEGLEDGIMBMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQABiABDIFEC4YgAQyBRAAGIAEMgUQABiABEjxDlD_AVjjCnABeACQAQCYAT2gAdoBqgEBNLgBA8gBAPgBAagCCsICChAAGAMYjwEY6gLCAgoQLhgDGI8BGOoCwgIREC4YgAQYsQMYgwEYxwEY0QPCAg4QLhiABBiKBRixAxiDAcICCBAuGIAEGLEDwgIOEAAYgAQYigUYsQMYgwHCAgsQLhiABBixAxiDAcICCBAAGIAEGLEDwgIREC4YgAQYsQMYgwEYxwEYrwHCAg4QLhiABBixAxjHARjRA8ICDhAuGIAEGMcBGK8BGI4FwgILEC4YgAQYxwEYrwE&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=593560618&q=Ezel&tbm=vid&source=lnms&sa=X&ved=2ahUKEwjBtuCI0vCDAxUdzQIHHZ2nBM4Q0pQJegQICxAB&biw=1280&bih=788&dpr=2,4,Ja,Nee,"Afbeeldingen, Gerelateerde zoekopdrachten (midden), Meer om te vragen (midden), Video's",Bij Video’s (na 5) staan Dierenpraat en Zappelina gelinkt,Eén woord,,Natuur/Biologie,10,,Yes,,,,"July 18, 2023 7:47 PM",,,
camille dhont,Done,https://www.google.nl/search?q=camille+dhont&sca_esv=595065857&source=hp&ei=TvKTZc6qOZjvi-gPpeeysA0&iflsig=AO6bgOgAAAAAZZQAXmxPHrD9jSt-sVRiGnxDBD8y-GrZ&ved=0ahUKEwjOidTgy76DAxWY9wIHHaWzDNYQ4dUDCAw&uact=5&oq=camille+dhont&gs_lp=Egdnd3Mtd2l6Ig1jYW1pbGxlIGRob250MgsQLhiABBixAxiDATIFEAAYgAQyBRAAGIAEMgUQABiABDIFEAAYgAQyBRAuGIAEMgUQABiABDIFEAAYgAQyBRAAGIAEMgUQLhiABEjpDFDMA1jMA3ABeACQAQCYAT-gAT-qAQExuAEDyAEA-AEC-AEBqAIKwgIKEAAYAxiPARjqAsICChAuGAMYjwEY6gI&sclient=gws-wiz#ip=1,https://www.google.nl/search?sca_esv=595065857&q=camille+dhont&tbm=vid&source=lnms&sa=X&ved=2ahUKEwj3rMbagPGDAxW82AIHHZ_fA2oQ0pQJegQIDBAB&biw=1468&bih=1328&dpr=2,-,Ja uitgebreid,Nee,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top), Nummers",,Named entity,"Media(ster), Merk/Bedrijf",Fun/Vrije tijd/Media,11,,Yes,,,,"July 18, 2023 7:47 PM",,,
welken gebouwen zijn er in West-Vlaanderen,Done,https://www.google.nl/search?q=welken+gebouwen+zijn+er+in+West-Vlaanderen&sca_esv=591244276&source=hp&ei=UHp8ZdaFMvv-7_UPnNim6AY&iflsig=AO6bgOgAAAAAZXyIYO6n4zaDHTpMZFlC6t6B377WVdVh&ved=0ahUKEwjW7Y6L6pGDAxV7_7sIHRysCW0Q4dUDCAw&uact=5&oq=welken+gebouwen+zijn+er+in+West-Vlaanderen&gs_lp=Egdnd3Mtd2l6Iip3ZWxrZW4gZ2Vib3V3ZW4gemlqbiBlciBpbiBXZXN0LVZsYWFuZGVyZW4yCBAAGIAEGKIEMggQABiABBiiBEiYBlDQAljQAnABeACQAQCYAWmgAWmqAQMwLjG4AQPIAQD4AQL4AQGoAgrCAh0QABiABBiKBRjlAhjlAhjqAhi0AhiKAxi3AxjUA8ICChAuGAMYjwEY6gI&sclient=gws-wiz,https://www.google.nl/search?sca_esv=591244276&q=welke+gebouwen+zijn+er+in+West-Vlaanderen&tbm=vid&source=lnms&sa=X&ved=2ahUKEwiI3cH5gPGDAxX5-gIHHem3AAkQ0pQJegQISRAB&biw=1468&bih=1328&dpr=2,-,Nee,Nee,"Gerelateerde zoekopdrachten (na 10), Meer om te vragen (top)",Resultaten voor https://www.google.nl/search?sca_esv=591191718&q=welke+gebouwen+zijn+er+in+West-Vlaanderen&spell=1&sa=X&ved=2ahUKEwj7yte3vZGDAxVulP0HHa1GDq0QkeECKAB6BAgIEAIhttps://www.google.nl/search?sca_esv=591191718&q=welke+gebouwen+zijn+er+in+West-Vlaanderen&spell=1&sa=X&ved=2ahUKEwj7yte3vZGDAxVulP0HHa1GDq0QkeECKAB6BAgIEAI,Vragen,,Aardrijkskunde,10,,Yes,,,,"July 18, 2023 7:47 PM",,,
